,player_name,date,event,category,event_round,result,opponent,score,average
218,Michael van Gerwen,07/05/2017,PDC European Darts Grand Prix,PDC ET,Quarter Final,Won,Benito van de Pas,6 V 1,104.05
219,Michael van Gerwen,07/05/2017,PDC European Darts Grand Prix,PDC ET,Last 16,Won,Ulf Ceder,6 V 2,97.12
220,Michael van Gerwen,06/05/2017,PDC European Darts Grand Prix,PDC ET,Last 32,Won,Keegan Brown,6 V 2,97.05
221,Michael van Gerwen,04/05/2017,Premier League,PDC U,League 10,Lost,Phil Taylor,3 V 7,102.99
222,Michael van Gerwen,27/04/2017,Premier League,PDC U,League 10,Won,Adrian Lewis,7 V 0,110.75
223,Michael van Gerwen,27/04/2017,Premier League,PDC U,League 10,Drew,Dave Chisnall,6 V 6,101.95
224,Michael van Gerwen,23/04/2017,PDC German Open,PDC ET,Quarter Final,Lost,Ian White,1 V 6,97.47
225,Michael van Gerwen,23/04/2017,PDC German Open,PDC ET,Last 16,Won,Adam Hunt,6 V 2,101.31
226,Michael van Gerwen,22/04/2017,PDC German Open,PDC ET,Last 32,Won,Ronny Huybrechts,6 V 3,102.48
227,Michael van Gerwen,20/04/2017,Premier League,PDC U,League 10,Won,Raymond van Barneveld,7 V 2,103.09
228,Michael van Gerwen,17/04/2017,PDC German Darts Masters,PDC ET,Final,Won,Jelle Klaasen,6 V 2,107.33
229,Michael van Gerwen,17/04/2017,PDC German Darts Masters,PDC ET,Semi Final,Won,Simon Whitlock,6 V 2,100.58
230,Michael van Gerwen,17/04/2017,PDC German Darts Masters,PDC ET,Quarter Final,Won,Raymond van Barneveld,6 V 3,105.23
231,Michael van Gerwen,17/04/2017,PDC German Darts Masters,PDC ET,Last 16,Won,Cristo Reyes,6 V 3,110.78
232,Michael van Gerwen,16/04/2017,PDC German Darts Masters,PDC ET,Last 32,Won,John Michael,6 V 1,110.12
233,Michael van Gerwen,13/04/2017,Premier League,PDC U,League 10,Drew,Peter Wright,6 V 6,103.48
234,Michael van Gerwen,06/04/2017,Premier League,PDC U,League 10,Won,James Wade,7 V 5,113.62
235,Michael van Gerwen,30/03/2017,Premier League,PDC U,League 10,Won,Dave Chisnall,7 V 1,104.25
236,Michael van Gerwen,26/03/2017,PDC German Darts Championship,PDC ET,Final,Lost,Peter Wright,3 V 6,93.29
237,Michael van Gerwen,26/03/2017,PDC German Darts Championship,PDC ET,Semi Final,Won,Jelle Klaasen,6 V 1,104.61
238,Michael van Gerwen,26/03/2017,PDC German Darts Championship,PDC ET,Quarter Final,Won,Ian White,6 V 3,101.81
239,Michael van Gerwen,26/03/2017,PDC German Darts Championship,PDC ET,Last 16,Won,Cristo Reyes,6 V 3,97.88
240,Michael van Gerwen,25/03/2017,PDC German Darts Championship,PDC ET,Last 32,Won,Jermaine Wattimena,6 V 1,111.51
241,Michael van Gerwen,23/03/2017,Premier League,PDC U,League 10,Won,James Wade,7 V 4,104.20
242,Michael van Gerwen,23/03/2017,Premier League,PDC U,League 10,Lost,Raymond van Barneveld,5 V 7,101.93
243,Michael van Gerwen,16/03/2017,Premier League,PDC U,League 10,Won,Phil Taylor,7 V 4,100.50
244,Michael van Gerwen,09/03/2017,Premier League,PDC U,League 10,Won,Kim Huybrechts,7 V 5,106.30
245,Michael van Gerwen,23/02/2017,Premier League,PDC U,League 10,Drew,Adrian Lewis,6 V 6,104.67
246,Michael van Gerwen,16/02/2017,Premier League,PDC U,League 10,Won,Jelle Klaasen,7 V 4,102.78
247,Michael van Gerwen,09/02/2017,Premier League,PDC U,League 10,Won,Peter Wright,7 V 3,105.21
248,Michael van Gerwen,02/02/2017,Premier League,PDC U,League 10,Drew,Gary Anderson,6 V 6,107.94
249,Michael van Gerwen,29/01/2017,The Masters,PDC U,Final,Won,Gary Anderson,11 V 7,109.42
250,Michael van Gerwen,29/01/2017,The Masters,PDC U,Semi Final,Won,Adrian Lewis,11 V 5,101.69
251,Michael van Gerwen,29/01/2017,The Masters,PDC U,Quarter Final,Won,Mensur Suljovic,10 V 4,107.75
252,Michael van Gerwen,28/01/2017,The Masters,PDC U,Last 16,Won,Simon Whitlock,10 V 6,105.42
253,Michael van Gerwen,02/01/2017,PDC World Championship,PDC WC,Final,Won,Gary Anderson,7 V 3,107.79
254,Michael van Gerwen,01/01/2017,PDC World Championship,PDC WC,Semi Final,Won,Raymond van Barneveld,6 V 2,114.05
255,Michael van Gerwen,30/12/2016,PDC World Championship,PDC WC,Quarter Final,Won,Daryl Gurney,5 V 1,103.08
256,Michael van Gerwen,29/12/2016,PDC World Championship,PDC WC,Last 16,Won,Darren Webster,4 V 1,104.44
257,Michael van Gerwen,27/12/2016,PDC World Championship,PDC WC,Last 32,Won,Cristo Reyes,4 V 2,105.24
258,Michael van Gerwen,17/12/2016,PDC World Championship,PDC WC,Last 64,Won,Kim Viljanen,3 V 0,103.34
259,Michael van Gerwen,27/11/2016,Players Championship Finals,PDC Premier,Final,Won,Dave Chisnall,11 V 3,108.34
260,Michael van Gerwen,27/11/2016,Players Championship Finals,PDC Premier,Semi Final,Won,Darren Webster,11 V 8,94.59
261,Michael van Gerwen,27/11/2016,Players Championship Finals,PDC Premier,Quarter Final,Won,Raymond van Barneveld,10 V 5,108.03
262,Michael van Gerwen,26/11/2016,Players Championship Finals,PDC Premier,Last 16,Won,Josh Payne,10 V 2,105.69
263,Michael van Gerwen,26/11/2016,Players Championship Finals,PDC Premier,Last 32,Won,Vincent van der Voort,6 V 1,102.15
264,Michael van Gerwen,25/11/2016,Players Championship Finals,PDC Premier,Last 64,Won,Andy Hamilton,6 V 1,95.08
265,Michael van Gerwen,20/11/2016,Grand Slam Of Darts,PDC Premier,Final,Won,James Wade,16 V 8,98.74
266,Michael van Gerwen,20/11/2016,Grand Slam Of Darts,PDC Premier,Semi Final,Won,Peter Wright,16 V 10,111.17
267,Michael van Gerwen,18/11/2016,Grand Slam Of Darts,PDC Premier,Quarter Final,Won,Brendan Dolan,16 V 3,97.33
268,Michael van Gerwen,16/11/2016,Grand Slam Of Darts,PDC Premier,Last 16,Won,Robert Thornton,10 V 5,103.24
269,Michael van Gerwen,14/11/2016,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Max Hopp,5 V 1,95.93
270,Michael van Gerwen,13/11/2016,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Brendan Dolan,5 V 1,104.58
271,Michael van Gerwen,12/11/2016,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Martin Adams,5 V 2,93.64
272,Michael van Gerwen,06/11/2016,World Series Of Darts Finals,PDC U,Final,Won,Peter Wright,11 V 9,101.18
273,Michael van Gerwen,06/11/2016,World Series Of Darts Finals,PDC U,Semi Final,Won,Dave Chisnall,11 V 3,108.69
274,Michael van Gerwen,06/11/2016,World Series Of Darts Finals,PDC U,Quarter Final,Won,Simon Whitlock,10 V 0,109.71
275,Michael van Gerwen,05/11/2016,World Series Of Darts Finals,PDC U,Last 16,Won,Gerwyn Price,6 V 5,98.82
276,Michael van Gerwen,30/10/2016,European Championship,PDC Premier,Final,Won,Mensur Suljovic,11 V 1,111.62
277,Michael van Gerwen,30/10/2016,European Championship,PDC Premier,Semi Final,Won,James Wade,11 V 7,102.98
278,Michael van Gerwen,30/10/2016,European Championship,PDC Premier,Quarter Final,Won,Jelle Klaasen,10 V 3,106.79
279,Michael van Gerwen,29/10/2016,European Championship,PDC Premier,Last 16,Won,Gerwyn Price,10 V 2,105.50
280,Michael van Gerwen,28/10/2016,European Championship,PDC Premier,Last 32,Won,Simon Whitlock,6 V 5,100.77
281,Michael van Gerwen,16/10/2016,PDC German Darts Championship,PDC ET,Last 16,Lost,Daryl Gurney,4 V 6,102.02
282,Michael van Gerwen,15/10/2016,PDC German Darts Championship,PDC ET,Last 32,Won,Robbie Green,6 V 4,99.83
283,Michael van Gerwen,08/10/2016,World Grand Prix,PDC Premier,Final,Won,Gary Anderson,5 V 2,d 100.29
284,Michael van Gerwen,07/10/2016,World Grand Prix,PDC Premier,Semi Final,Won,Dave Chisnall,4 V 2,d 99.37
285,Michael van Gerwen,06/10/2016,World Grand Prix,PDC Premier,Quarter Final,Won,Simon Whitlock,3 V 1,d 103.09
286,Michael van Gerwen,05/10/2016,World Grand Prix,PDC Premier,Last 16,Won,James Wilson,3 V 0,d 97.17
287,Michael van Gerwen,03/10/2016,World Grand Prix,PDC Premier,Last 32,Won,Steve Beaton,2 V 1,d 97.39
288,Michael van Gerwen,25/09/2016,Champions League of Darts,PDC U,Final,Lost,Phil Taylor,5 V 11,100.92
289,Michael van Gerwen,25/09/2016,Champions League of Darts,PDC U,Semi Final,Won,Gary Anderson,11 V 5,105.67
290,Michael van Gerwen,25/09/2016,Champions League of Darts,PDC U,Last 8 Group 4th,Won,Peter Wright,10 V 5,100.27
291,Michael van Gerwen,24/09/2016,Champions League of Darts,PDC U,Last 8 Group 4th,Lost,Phil Taylor,4 V 10,104.13
292,Michael van Gerwen,24/09/2016,Champions League of Darts,PDC U,Last 8 Group 4th,Won,Robert Thornton,10 V 5,97.30
293,Michael van Gerwen,18/09/2016,PDC European Darts Grand Prix,PDC ET,Final,Won,Peter Wright,6 V 2,105.38
294,Michael van Gerwen,18/09/2016,PDC European Darts Grand Prix,PDC ET,Semi Final,Won,Kim Huybrechts,6 V 0,107.36
295,Michael van Gerwen,18/09/2016,PDC European Darts Grand Prix,PDC ET,Quarter Final,Won,Gerwyn Price,6 V 3,94.42
296,Michael van Gerwen,18/09/2016,PDC European Darts Grand Prix,PDC ET,Last 16,Won,Steve Beaton,6 V 3,97.86
297,Michael van Gerwen,17/09/2016,PDC European Darts Grand Prix,PDC ET,Last 32,Won,Darren Webster,6 V 4,104.04
298,Michael van Gerwen,11/09/2016,PDC European Darts Trophy,PDC ET,Final,Won,Mensur Suljovic,6 V 5,106.77
299,Michael van Gerwen,11/09/2016,PDC European Darts Trophy,PDC ET,Semi Final,Won,Kim Huybrechts,6 V 5,97.57
300,Michael van Gerwen,11/09/2016,PDC European Darts Trophy,PDC ET,Quarter Final,Won,Jelle Klaasen,6 V 2,115.13
301,Michael van Gerwen,11/09/2016,PDC European Darts Trophy,PDC ET,Last 16,Won,Simon Whitlock,6 V 3,91.86
302,Michael van Gerwen,10/09/2016,PDC European Darts Trophy,PDC ET,Last 32,Won,Keegan Brown,6 V 2,99.99
303,Michael van Gerwen,27/08/2016,Perth Masters,PDC U,Final,Won,Dave Chisnall,11 V 4,99.63
304,Michael van Gerwen,27/08/2016,Perth Masters,PDC U,Semi Final,Won,Peter Wright,11 V 5,97.22
305,Michael van Gerwen,26/08/2016,Perth Masters,PDC U,Quarter Final,Won,James Wade,10 V 8,98.96
306,Michael van Gerwen,25/08/2016,Perth Masters,PDC U,Last 16,Won,Kyle Anderson,6 V 4,94.78
307,Michael van Gerwen,20/08/2016,Sydney Masters,PDC U,Final,Lost,Phil Taylor,9 V 11,104.32
308,Michael van Gerwen,20/08/2016,Sydney Masters,PDC U,Semi Final,Won,Peter Wright,11 V 6,105.92
309,Michael van Gerwen,19/08/2016,Sydney Masters,PDC U,Quarter Final,Won,Kyle Anderson,10 V 6,104.00
310,Michael van Gerwen,18/08/2016,Sydney Masters,PDC U,Last 16,Won,Cody Harris,6 V 2,107.89
311,Michael van Gerwen,31/07/2016,PDC European Darts Open,PDC ET,Final,Won,Peter Wright,6 V 5,104.06
312,Michael van Gerwen,31/07/2016,PDC European Darts Open,PDC ET,Semi Final,Won,Kim Huybrechts,6 V 3,103.63
313,Michael van Gerwen,31/07/2016,PDC European Darts Open,PDC ET,Quarter Final,Won,Jelle Klaasen,6 V 4,102.95
314,Michael van Gerwen,31/07/2016,PDC European Darts Open,PDC ET,Last 16,Won,Kyle Anderson,6 V 2,99.38
315,Michael van Gerwen,30/07/2016,PDC European Darts Open,PDC ET,Last 32,Won,Jamie Caven,6 V 0,104.86
316,Michael van Gerwen,24/07/2016,World Matchplay,PDC Premier,Final,Won,Phil Taylor,18 V 10,103.93
317,Michael van Gerwen,23/07/2016,World Matchplay,PDC Premier,Semi Final,Won,Adrian Lewis,17 V 9,101.20
318,Michael van Gerwen,21/07/2016,World Matchplay,PDC Premier,Quarter Final,Won,Dave Chisnall,16 V 9,98.72
319,Michael van Gerwen,19/07/2016,World Matchplay,PDC Premier,Last 16,Won,Kyle Anderson,11 V 3,102.97
320,Michael van Gerwen,16/07/2016,World Matchplay,PDC Premier,Last 32,Won,Jamie Caven,10 V 0,105.85
321,Michael van Gerwen,06/07/2016,Japan Darts Masters,PDC U,Last 16,Won,Masumi Chino,6 V 3,93.24
322,Michael van Gerwen,26/06/2016,Shanghai Masters,PDC U,Final,Won,James Wade,8 V 3,100.54
323,Michael van Gerwen,26/06/2016,Shanghai Masters,PDC U,Semi Final,Won,Dave Chisnall,8 V 5,101.36
324,Michael van Gerwen,25/06/2016,Shanghai Masters,PDC U,Last 16,Won,Paul Lim,6 V 4,96.24
325,Michael van Gerwen,18/06/2016,Auckland Masters,PDC U,Quarter Final,Lost,James Wade,6 V 10,107.63
326,Michael van Gerwen,17/06/2016,Auckland Masters,PDC U,Last 16,Won,Damon Heta,6 V 3,100.60
327,Michael van Gerwen,12/06/2016,PDC Austrian Darts Open,PDC ET,Quarter Final,Lost,Kyle Anderson,4 V 6,95.84
328,Michael van Gerwen,12/06/2016,PDC Austrian Darts Open,PDC ET,Last 16,Won,Steve Beaton,6 V 1,101.36
329,Michael van Gerwen,11/06/2016,PDC Austrian Darts Open,PDC ET,Last 32,Won,Johnny Clayton,6 V 0,109.98
330,Michael van Gerwen,05/06/2016,PDC World Cup of Darts,PDC U,Final Sub Match,Lost,Adrian Lewis,1 V 4,85.25
331,Michael van Gerwen,05/06/2016,PDC World Cup of Darts,PDC U,Final Sub Match,Lost,Phil Taylor,3 V 4,90.97
332,Michael van Gerwen,05/06/2016,PDC World Cup of Darts,PDC U,Semi Final Sub Match,Won,Ronny Huybrechts,4 V 1,102.70
333,Michael van Gerwen,05/06/2016,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Won,Simon Whitlock,4 V 1,98.49
334,Michael van Gerwen,04/06/2016,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Gilbert Ulang,4 V 2,96.99
335,Michael van Gerwen,27/05/2016,Dubai Masters,PDC U,Final,Lost,Gary Anderson,9 V 11,100.95
336,Michael van Gerwen,27/05/2016,Dubai Masters,PDC U,Semi Final,Won,Dave Chisnall,11 V 7,105.09
337,Michael van Gerwen,26/05/2016,Dubai Masters,PDC U,Quarter Final,Won,Peter Wright,10 V 7,107.65
338,Michael van Gerwen,19/05/2016,Premier League,PDC U,Final,Won,Phil Taylor,11 V 3,104.68
339,Michael van Gerwen,19/05/2016,Premier League,PDC U,Semi Final,Won,Adrian Lewis,10 V 4,103.19
340,Michael van Gerwen,15/05/2016,PDC European Matchplay,PDC ET,Semi Final,Lost,James Wade,2 V 6,97.19
341,Michael van Gerwen,15/05/2016,PDC European Matchplay,PDC ET,Quarter Final,Won,Jelle Klaasen,6 V 5,106.75
342,Michael van Gerwen,15/05/2016,PDC European Matchplay,PDC ET,Last 16,Won,Daryl Gurney,6 V 4,101.76
343,Michael van Gerwen,14/05/2016,PDC European Matchplay,PDC ET,Last 32,Won,Remco van Eijden,6 V 2,98.78
344,Michael van Gerwen,12/05/2016,Premier League,PDC U,League 10,Won,Phil Taylor,7 V 5,101.24
345,Michael van Gerwen,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Final,Won,Dave Chisnall,6 V 2,103.89
346,Michael van Gerwen,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Semi Final,Won,Kim Huybrechts,6 V 0,109.98
347,Michael van Gerwen,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Quarter Final,Won,Dyson Parody,6 V 5,100.04
348,Michael van Gerwen,08/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Last 16,Won,Mervyn King,6 V 3,105.73
349,Michael van Gerwen,07/05/2016,PDC Gibraltar Darts Trophy,PDC ET,Last 32,Won,Nick Fullwell,6 V 4,95.04
350,Michael van Gerwen,05/05/2016,Premier League,PDC U,League 10,Won,Raymond van Barneveld,7 V 2,107.93
351,Michael van Gerwen,28/04/2016,Premier League,PDC U,League 10,Won,James Wade,7 V 1,108.33
352,Michael van Gerwen,21/04/2016,Premier League,PDC U,League 10,Won,Adrian Lewis,7 V 5,96.82
353,Michael van Gerwen,21/04/2016,Premier League,PDC U,League 10,Won,Peter Wright,7 V 2,103.38
354,Michael van Gerwen,14/04/2016,Premier League,PDC U,League 10,Drew,Gary Anderson,6 V 6,110.55
355,Michael van Gerwen,09/04/2016,PDPA Players Championship Barnsley 4,PDC Pro Tour,Final,Lost,Benito van de Pas,5 V 6,111.72
356,Michael van Gerwen,08/04/2016,PDPA Players Championship Barnsley 3,PDC Pro Tour,Final,Won,Benito van de Pas,6 V 3,111.29
357,Michael van Gerwen,07/04/2016,Premier League,PDC U,League 10,Won,Robert Thornton,7 V 5,117.95
358,Michael van Gerwen,31/03/2016,Premier League,PDC U,League 10,Drew,Raymond van Barneveld,6 V 6,105.59
359,Michael van Gerwen,28/03/2016,PDC German Darts Masters,PDC ET,Final,Won,Peter Wright,6 V 4,92.72
360,Michael van Gerwen,28/03/2016,PDC German Darts Masters,PDC ET,Semi Final,Won,Joe Cullen,6 V 1,91.45
361,Michael van Gerwen,28/03/2016,PDC German Darts Masters,PDC ET,Quarter Final,Won,Chris Dobey,6 V 5,108.55
362,Michael van Gerwen,28/03/2016,PDC German Darts Masters,PDC ET,Last 16,Won,Kevin Painter,6 V 2,102.85
363,Michael van Gerwen,27/03/2016,PDC German Darts Masters,PDC ET,Last 32,Won,Rene Eidams,6 V 3,97.06
364,Michael van Gerwen,24/03/2016,Premier League,PDC U,League 10,Drew,Robert Thornton,6 V 6,97.57
365,Michael van Gerwen,17/03/2016,Premier League,PDC U,League 10,Drew,Phil Taylor,6 V 6,107.35
366,Michael van Gerwen,10/03/2016,Premier League,PDC U,League 10,Won,Dave Chisnall,7 V 2,113.47
367,Michael van Gerwen,06/03/2016,UK Open,PDC Premier,Final,Won,Peter Wright,11 V 4,106.68
368,Michael van Gerwen,06/03/2016,UK Open,PDC Premier,Semi Final,Won,Phil Taylor,10 V 6,107.57
369,Michael van Gerwen,06/03/2016,UK Open,PDC Premier,Quarter Final,Won,Barry Lynn,10 V 6,95.99
370,Michael van Gerwen,05/03/2016,UK Open,PDC Premier,Last 16,Won,Kim Huybrechts,9 V 2,102.20
371,Michael van Gerwen,03/03/2016,Premier League,PDC U,League 10,Won,Peter Wright,7 V 2,116.67
372,Michael van Gerwen,25/02/2016,Premier League,PDC U,League 10,Won,Michael Smith,7 V 1,123.40
373,Michael van Gerwen,18/02/2016,Premier League,PDC U,League 10,Won,Adrian Lewis,7 V 4,106.40
374,Michael van Gerwen,14/02/2016,PDC Dutch Darts Masters,PDC ET,Final,Won,Daryl Gurney,6 V 2,112.26
375,Michael van Gerwen,14/02/2016,PDC Dutch Darts Masters,PDC ET,Semi Final,Won,Mervyn King,6 V 2,96.59
376,Michael van Gerwen,14/02/2016,PDC Dutch Darts Masters,PDC ET,Quarter Final,Won,Dave Chisnall,6 V 3,103.45
377,Michael van Gerwen,14/02/2016,PDC Dutch Darts Masters,PDC ET,Last 16,Won,Justin Pipe,6 V 3,102.65
378,Michael van Gerwen,13/02/2016,PDC Dutch Darts Masters,PDC ET,Last 32,Won,John Henderson,6 V 3,99.49
379,Michael van Gerwen,11/02/2016,Premier League,PDC U,League 10,Won,Gary Anderson,7 V 3,111.88
380,Michael van Gerwen,04/02/2016,Premier League,PDC U,League 10,Lost,James Wade,4 V 7,98.30
381,Michael van Gerwen,31/01/2016,The Masters,PDC U,Final,Won,Dave Chisnall,11 V 6,98.94
382,Michael van Gerwen,31/01/2016,The Masters,PDC U,Semi Final,Won,Phil Taylor,11 V 10,103.30
383,Michael van Gerwen,31/01/2016,The Masters,PDC U,Quarter Final,Won,Michael Smith,10 V 3,105.86
384,Michael van Gerwen,30/01/2016,The Masters,PDC U,Last 16,Won,Stephen Bunting,10 V 1,112.20
385,Michael van Gerwen,29/12/2015,PDC World Championship,PDC WC,Last 16,Lost,Raymond van Barneveld,3 V 4,105.78
386,Michael van Gerwen,27/12/2015,PDC World Championship,PDC WC,Last 32,Won,Darren Webster,4 V 0,109.23
387,Michael van Gerwen,18/12/2015,PDC World Championship,PDC WC,Last 64,Won,Rene Eidams,3 V 2,99.03
388,Michael van Gerwen,29/11/2015,Players Championship Finals,PDC Premier,Final,Won,Adrian Lewis,11 V 6,100.32
389,Michael van Gerwen,29/11/2015,Players Championship Finals,PDC Premier,Semi Final,Won,Daryl Gurney,11 V 2,102.72
390,Michael van Gerwen,29/11/2015,Players Championship Finals,PDC Premier,Quarter Final,Won,Dave Chisnall,10 V 7,107.02
391,Michael van Gerwen,28/11/2015,Players Championship Finals,PDC Premier,Last 16,Won,Vincent van der Voort,10 V 6,103.23
392,Michael van Gerwen,27/11/2015,Players Championship Finals,PDC Premier,Last 32,Won,Keegan Brown,6 V 4,98.24
393,Michael van Gerwen,22/11/2015,World Series Of Darts Finals,PDC U,Final,Won,Peter Wright,11 V 10,106.60
394,Michael van Gerwen,22/11/2015,World Series Of Darts Finals,PDC U,Semi Final,Won,Adrian Lewis,11 V 5,108.00
395,Michael van Gerwen,22/11/2015,World Series Of Darts Finals,PDC U,Quarter Final,Won,Raymond van Barneveld,10 V 8,106.42
396,Michael van Gerwen,21/11/2015,World Series Of Darts Finals,PDC U,Last 16,Won,Robert Thornton,6 V 1,101.61
397,Michael van Gerwen,15/11/2015,Grand Slam Of Darts,PDC Premier,Final,Won,Phil Taylor,16 V 13,100.94
398,Michael van Gerwen,15/11/2015,Grand Slam Of Darts,PDC Premier,Semi Final,Won,Michael Smith,16 V 6,102.19
399,Michael van Gerwen,14/11/2015,Grand Slam Of Darts,PDC Premier,Quarter Final,Won,Kim Huybrechts,16 V 4,111.05
400,Michael van Gerwen,12/11/2015,Grand Slam Of Darts,PDC Premier,Last 16,Won,Steve Beaton,10 V 2,109.18
401,Michael van Gerwen,10/11/2015,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Steve West,5 V 3,105.38
402,Michael van Gerwen,08/11/2015,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Kim Huybrechts,5 V 1,106.23
403,Michael van Gerwen,07/11/2015,Grand Slam Of Darts,PDC Premier,Last 32 Group,Won,Mark Oosterhuis,5 V 0,102.95
404,Michael van Gerwen,01/11/2015,European Championship,PDC Premier,Final,Won,Gary Anderson,11 V 10,107.28
405,Michael van Gerwen,01/11/2015,European Championship,PDC Premier,Semi Final,Won,Peter Wright,11 V 7,104.76
406,Michael van Gerwen,01/11/2015,European Championship,PDC Premier,Quarter Final,Won,Dave Chisnall,10 V 4,106.55
407,Michael van Gerwen,31/10/2015,European Championship,PDC Premier,Last 16,Won,Cristo Reyes,10 V 3,106.81
408,Michael van Gerwen,30/10/2015,European Championship,PDC Premier,Last 32,Won,Jeffrey de Zwaan,6 V 3,100.37
409,Michael van Gerwen,17/10/2015,PDC European Darts Grand Prix,PDC ET,Last 32,Lost,Mensur Suljovic,4 V 6,111.37
410,Michael van Gerwen,10/10/2015,World Grand Prix,PDC Premier,Final,Lost,Robert Thornton,4 V 5,d 96.79
411,Michael van Gerwen,09/10/2015,World Grand Prix,PDC Premier,Semi Final,Won,Mark Webster,4 V 1,d 93.25
412,Michael van Gerwen,08/10/2015,World Grand Prix,PDC Premier,Quarter Final,Won,Jamie Lewis,3 V 0,d 95.66
413,Michael van Gerwen,06/10/2015,World Grand Prix,PDC Premier,Last 16,Won,Kim Huybrechts,3 V 1,d 91.87
414,Michael van Gerwen,04/10/2015,World Grand Prix,PDC Premier,Last 32,Won,Keegan Brown,2 V 1,d 92.84
415,Michael van Gerwen,26/09/2015,PDPA Players Championship Barnsley 8,PDC Pro Tour,Quarter Final,Lost,Dave Chisnall,3 V 6,105.81
416,Michael van Gerwen,20/09/2015,PDC European Matchplay,PDC ET,Final,Won,Dave Chisnall,6 V 4,99.58
417,Michael van Gerwen,20/09/2015,PDC European Matchplay,PDC ET,Semi Final,Won,Robert Thornton,6 V 1,109.09
418,Michael van Gerwen,20/09/2015,PDC European Matchplay,PDC ET,Quarter Final,Won,Rowby John Rodriguez,6 V 3,114.00
419,Michael van Gerwen,20/09/2015,PDC European Matchplay,PDC ET,Last 16,Won,Raymond van Barneveld,6 V 1,100.21
420,Michael van Gerwen,19/09/2015,PDC European Matchplay,PDC ET,Last 32,Won,Ronny Huybrechts,6 V 3,97.53
421,Michael van Gerwen,13/09/2015,PDC European Darts Trophy,PDC ET,Final,Lost,Michael Smith,2 V 6,101.12
422,Michael van Gerwen,13/09/2015,PDC European Darts Trophy,PDC ET,Semi Final,Won,Peter Wright,6 V 2,106.16
423,Michael van Gerwen,13/09/2015,PDC European Darts Trophy,PDC ET,Quarter Final,Won,Dave Chisnall,6 V 0,92.97
